,id,title,overview,poster_path,video_key
10,629542,배드 가이즈,"작전 설계부터 금고 해제, 해킹, 액션, 위장까지 완벽한 팀플레이를 펼치는 자타공인 최고의 나쁜 녀석들이 한순간의 실수로 체포된다.  하지만 그들도 착해질 수 있다는 ‘마멀레이드 박사’의 주장으로 나쁜 녀석들은 바른 생활 갓생 프로젝트에 투입되고, 이들은 다시 한번 자유의 몸을 위해 태어나 처음으로 바른 생활에 도전하게 되는데…  나쁜 녀석들의 사상 초유 바른 생활 갓생 프로젝트가 시작된다!",https://image.tmdb.org/t/p/w500//x6KSvale7iuxLhsrEfhYNoICyfK.jpg,https://www.youtube.com/embed/57YJYXmA7xE?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=57YJYXmA7xE
11,129,센과 치히로의 행방불명,평범한 열 살 짜리 소녀 치히로 식구는 이사 가던 중 길을 잘못 들어 낡은 터널을 지나가게 된다. 터널 저편엔 폐허가 된 놀이공원이 있었고 그곳엔 이상한 기운이 흘렀다. 인기척 하나 없는 이 마을의 낯선 분위기에 불길한 기운을 느낀 치히로는 부모님에게 돌아가자고 조르지만 부모님은 호기심에 들떠 마을 곳곳을 돌아다니기 시작한다. 어느 음식점에 도착한 치히로의 부모님은 그 곳에 차려진 음식들을 보고 즐거워하며 허겁지겁 먹어대다가 돼지로 변해버린다. 겁에 질려 당황하는 치히로에게 낯선 소년 하쿠가 나타나 빨리 이곳을 나가라고 소리치는데...,https://image.tmdb.org/t/p/w500//u1L4qxIu5sC2P082uMHYt7Ifvnj.jpg,https://www.youtube.com/embed/lwrG3HQXTFw?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=lwrG3HQXTFw
12,778106,여름밤을 달려봐,"대학 입학을 앞둔 여름, 미스터리한 소년 일라이를 만난 모범생 오든. 밤마다 일라이와 함께 이곳저곳을 누비며 그동안 경험하지 못했던 자유분방한 10대의 삶을 맛본다.",https://image.tmdb.org/t/p/w500//d5spmLeGR9kxBRQ6qxCFad1ljvT.jpg,https://www.youtube.com/embed/eZ-_VK-oNOw?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=eZ-_VK-oNOw
13,642208,슈퍼노바,20년이 넘게 연인으로 살아온 샘과 터스커. 두 사람은 낡은 캠핑카를 타고 영국을 여행하며 그동안 못 만났던 친구와 가족들을 방문하기로 한다. 얼마 전 초기 치매 진단을 받은 터스커에게 지금까지의 삶을 돌아볼 시간이 필요했기 때문이다. 그리고 터스크의 곁을 변함 없이 지키는 샘은 사랑하고 싸우는 모든 시간들을 소중히 기억하려 한다.,https://image.tmdb.org/t/p/w500//4TtZUPcVQj4yWn8UoUQP3jG0W5q.jpg,https://www.youtube.com/embed/ey18QxkaoZE?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=ey18QxkaoZE
14,833425,출구는 없다,어머니가 위독하다는 소식을 듣고 가족에게 가던 다비는 눈보라 때문에 낯선 이들과 고속도로 휴게소로 대피한다. 주차장의 밴에서 납치된 소녀를 본 다비는 납치범을 찾아 사투를 벌인다.,https://image.tmdb.org/t/p/w500//aZmNC8uP82HQpykPDQvJhm7Rxu8.jpg,https://www.youtube.com/embed/AirboSJZOn0?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=AirboSJZOn0
15,776305,용과 주근깨 공주,"고치현의 자연이 풍요로운 마을에 사는 17세의 여고생 스즈는, 어릴 적에 어머니를 사고로 여의고 아버지와 단둘이 살고 있다. 엄마와 함께 노래하는 것을 무엇보다도 좋아했던 스즈는 그 죽음을 계기로 노래할 수 없게 되었고, 어느새 아버지와의 관계에도 틈이 생겨 현실 세계에 마음을 닫게 된다. 곡을 만드는 일만이 삶의 양식이 되던 어느 날 공교롭게도 전세계에서 50억명 이상이 모여드는 초거대 인터넷 공간의 가상세계에 벨이라는 캐릭터로 참여하게 된다.",https://image.tmdb.org/t/p/w500//7RJfStj3U3eoZiDOfYfb4Kj3zF.jpg,https://www.youtube.com/embed/5vC-EDqlhiA?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=5vC-EDqlhiA
16,58,캐리비안의 해적: 망자의 함,잭 스패로우는 블랙펄을 되찾아 포트 로열을 떠났지만 그를 기다리는 것은 수평선만이 아니었다. 유령선 플라잉 더치맨의 선장 데이비 존스는 잭이 자신에게 피로 진 빚이 있다면서 빚을 갚거나 영혼을 내놓으라고 요구한다. 불행 중 다행한 것은 잭에게 피의 빚 외에도 중매의 은총이 있었다는 것. 결혼을 앞둔 윌 터너와 엘리자베스 스완은 만사를 제쳐두고 옛 친구를 도우러 온다. 잭을 구할 수 있는 단 한 가지 방법은 세상 끝에 있다는 망자의 함을 찾는 것 뿐인데...,https://image.tmdb.org/t/p/w500//6tD4oT7C01aZLVfoZDz5VFVbJCi.jpg,https://www.youtube.com/embed/VFE5rddfXNo?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=VFE5rddfXNo
17,575813,소년시절의 너,"시험만 잘 치면 멋진 인생을 살 수 있다고 가르치는 세상에서 기댈 곳 없이 세상에 내몰린 우등생 소녀 첸니엔과 양아치 소년 베이. 비슷한 상처와 외로움에 끌려 서로에게 의지하게 된 두 사람은 수능을 하루 앞둔 어느 날, 첸니엔의 삶을 뒤바꿔버릴 거대한 사건에 휘말리게 된다. 첸니엔만은 평범하고 행복하게 살길 바라는 베이는 그녀의 그림자가 되어 모든 것을 해결하기로 마음 먹는데…",https://image.tmdb.org/t/p/w500//nYmY1MqoNq1bUS21v5NrLT52mxv.jpg,https://www.youtube.com/embed/WKeY_G3AD54?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=WKeY_G3AD54
18,441130,울프워커스,"미신과 마법의 시대, 어린 사냥 견습생 로빈 굿펠로우는 최후의 늑대 무리를 제거하기 위해 아버지와 함께 아일랜드로 간다. 도시 성벽 바깥의 금지된 땅을 탐험하던 로빈은 밤이면 늑대로 변하는 능력을 지녔다고 전해지는 수수께끼 부족의 일원인 자유분방한 소녀 메브와 친구가 된다. 함께 메브의 사라진 어머니를 찾던 중, 로빈은 놀라운 비밀을 발견한다. 그 비밀로 인해 로빈의 아버지는 마법의 울프워커스 세계로 들어오게 되고, 로빈은 아버지가 없애려 하는 바로 그 존재로 변신하는 위험에 빠지게 된다.",https://image.tmdb.org/t/p/w500//ehAKuE48okTuonq6TpsNQj8vFTC.jpg,https://www.youtube.com/embed/HD83dtEtfKc?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=HD83dtEtfKc
19,414906,더 배트맨,"지난 2년 간 고담시의 어둠 속에서 범법자들을 응징하며 배트맨으로 살아온 브루스 웨인. 알프레드와 제임스 고든 경위의 도움 아래 그는 도시의 부패한 공직자들과 고위 관료들 사이에서 복수의 화신으로 활약한다. 고담의 시장 선거를 앞두고 고담의 엘리트 집단을 목표로 잔악한 연쇄살인을 저지르는 수수께끼 킬러 리들러가 나타나자, 최고의 탐정 브루스 웨인이 수사에 나서고 남겨진 단서를 풀어가며 캣우먼, 펭귄, 카마인 팔코네, 리들러를 차례대로 만난다. 사이코 범인의 미스터리를 수사하면서 그 모든 증거가 자신을 향한 의도적인 메시지였음을 깨닫고,  리들러에게 농락 당한 배트맨은 광기에 사로잡힌다. 범인의 무자비한 계획을 막고 오랫동안 고담시를 썩게 만든 권력 부패의 고리를 끊어야 하지만, 부모님의 죽음에 얽힌 진실이 밝혀지자 복수와 정의 사이에서 갈등하는데...",https://image.tmdb.org/t/p/w500//bCz71ysciwNL2xddSm25ufrgZ7V.jpg,https://www.youtube.com/embed/1fAA87ds32o?controls=1&rel=0&mute=1&autoplay=1&loop=1&playlist=1fAA87ds32o
